title,link,text,language,family
Teke languages - Wikipedia,https://en.wikipedia.org/wiki/Teke_languages,"The Teke languages are a group of Bantu languages spoken by the Teke people in the western Congo and in Gabon. They are coded Zone B.70 in Guthrie's classification. According to Nurse & Philippson, the Teke languages apart from West Teke form a valid node with Tende",Teke-Tyee,Niger-Congo
Teke-Tyee Language (TYX) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/tyx/,Teke-Tyee is a stable indigenous language of Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Teke-Tyee,Niger-Congo
"Teke-Tyee in Congo, Republic of the people group... | Joshua Project",https://joshuaproject.net/people_groups/19589/CF,"The Teke-Tyee have only been reported in Congo, Republic of the.The one thing that distinguishes Teke-Tyee people from other tribes in the area is their royal heritage. For generations, Teke royalty have presided over spiritual matters.",Teke-Tyee,Niger-Congo
Teke-tyee is a language spoken in the Republic of Congo.,https://play.google.com/store/apps/details?id=org.sil.tyx&hl=en_US,"User population Teke-tyee is spoken by 14,400 people (2019) living in the Bouenza and Pool departments of the Republic of Congo. Language Status 6a (Vigorous).",Teke-Tyee,Niger-Congo
Nouvelle contribution à l’inventaire et la description des parlers teke...,https://journals.openedition.org/lla/12921,"Le présent article constitue une importante contribution à l’inventaire des parlers « teke » (bantou, B70‑80) de la République du Congo et de la République démocratique du Congo (RDC).",Teke-Tyee,Niger-Congo
Bible translation in Teke-tyee,https://teketyee.org/en,"The Teke people are a Bantu people of Central Africa distributed, for the most part of their population, in the south, north and center of the Republic of Congo, but also in the west of the Democratic Republic of Congo, and, minority , southeast of Gabon.",Teke-Tyee,Niger-Congo
Category:Teke-Tyee terms derived from Niger-Congo languages...,https://en.wiktionary.org/wiki/Category:Teke-Tyee_terms_derived_from_Niger-Congo_languages,"» Niger-Congo. Teke-Tyee terms that originate from one of the Niger-Congo languages. This category should, ideally, contain only other categories. Entries can be categorized here, too, when the proper subcategory is unclear.",Teke-Tyee,Niger-Congo
Tsege language,https://grokipedia.com/page/tsege_language,"Tsege, also known as Tchitchege, is a Bantu language of the Teke group spoken by the Tchitchege people in the Haut-Ogooué Province of southeastern Gabon.",Teke-Tyee,Niger-Congo
Wikitongues | tyx,https://wikitongues.org/languages/tyx/,Niger-Congo. EGIDS Status.Teke-Tyee language videos0 Videos. Wikitongues crowd-sources video samples of every language in the world.,Teke-Tyee,Niger-Congo
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Teke-Tyee,Niger-Congo
