title,link,text,language,family
Music of the Democratic Republic of the Congo - Wikipedia,https://en.wikipedia.org/wiki/Music_of_the_Democratic_Republic_of_the_Congo,"June 1, 2026 - Among Congolese groups, the xylophone is recognized under numerous vernacular names: pandingbwa (Zande), madimba (Kikongo, Luba, Pende), anemba (Tetela), bifanda (Yaka), djimba (Chokwe), dujimba (Lunda), didimba-dimba (Luba Katanga), endara (Nande), gbengbe (Budja), manza and bandjanda (Ngbaka, ...",Tetela,Niger-Congo
Générique Tetela by Junior Lokamba on Apple Music,https://music.apple.com/cd/song/générique-tetela/1697659284,"April 19, 2023 - Congo, The Democratic Republic Of The · Egypt · Eswatini · Gabon · Gambia · Ghana · Guinea-Bissau · India · Iraq · Israel · Jordan · Kenya · Kuwait · Lebanon · Liberia · Libya · Madagascar · Malawi · Mali · Mauritania · Mauritius · Morocco · Mozambique · Namibia · Niger (English) Nigeria ·",Tetela,Niger-Congo
"Musique des Tetela: Anthology of Congolese Music, Vol. 8 | Outhere Music",https://outhere-music.com/en/albums/musique-des-tetela-anthology-congolese-music-vol-8,"August 30, 2019 - Originally from central Congo, the Tetela compose songs mainly drawing inspiration from history and the daily life in their villages. The mnemonic dimension of the music becomes easier to understand once you realise that track 3 is a song of collective rejoicing, and that is sung to honour the ‘researcher/traveller/celebrated jazzman’ Benoît Quersin, who recorded these chants and visited the village almost 22 years after his first stay in 1953.",Tetela,Niger-Congo
"Musique des Tetela: Anthology of Congolese Music, Vol. 8",https://open.spotify.com/album/3pSIShn0wuinPEsPH1EEUu,Nigeria · North Macedonia · Norway · Oman · Pakistan · Palau · Palestine · Panama · Papua New Guinea · Paraguay · Peru · Philippines · Poland · Portugal · Qatar · Republic of the Congo · Romania · Rwanda · Samoa · San Marino · Sao Tome and Principe ·,Tetela,Niger-Congo
EMONGO PEMBE TETELA MUSIQUE - EP by EMONGO PEMBE DE PARIS on Apple Music,https://music.apple.com/us/album/emongo-pembe-tetela-musique-ep/1763341917,"August 15, 2024 - Congo, The Democratic Republic Of The · Egypt · Eswatini · Gabon · Gambia · Ghana · Guinea-Bissau · India · Iraq · Israel · Jordan · Kenya · Kuwait · Lebanon · Liberia · Libya · Madagascar · Malawi · Mali · Mauritania · Mauritius · Morocco · Mozambique · Namibia · Niger (English) Nigeria ·",Tetela,Niger-Congo
Tetela by Phathutshedzo Mukwevho & Kingbeats on Apple Music,https://music.apple.com/cd/song/tetela/1656131614,"December 21, 2022 - Congo, The Democratic Republic Of The · Egypt · Eswatini · Gabon · Gambia · Ghana · Guinea-Bissau · India · Iraq · Israel · Jordan · Kenya · Kuwait · Lebanon · Liberia · Libya · Madagascar · Malawi · Mali · Mauritania · Mauritius · Morocco · Mozambique · Namibia · Niger (English) Nigeria ·",Tetela,Niger-Congo
"Tetela - song and lyrics by Makaya, Omako & Okito | Spotify",https://open.spotify.com/track/1KzPduIHAVwL5A8Osmpojc,"April 13, 2013 - Makaya, Omako & Okito · Ana Mongo Choral Song in Tetela,Kusu Language (Congo Dem Rep) · Song · 2013",Tetela,Niger-Congo
"Musique Des Tetela – 13 x File (FLAC, MP3, Reissue), 2019 [r32704371] | Discogs",https://www.discogs.com/release/32704371-Various-Musique-Des-Tetela,Anthologie de la Musique Congolaise Vol 8 Musique des Tetela1:09:44 · Add to List · Add to List · Ad · Andreas_M_Wittig · Report Suspicious Activity ·,Tetela,Niger-Congo
Tetela Musicians on Apple Music,https://music.apple.com/ng/artist/tetela-musicians/1472011875,"Congo, The Democratic Republic Of The · Egypt · Eswatini · Gabon · Gambia · Ghana · Guinea-Bissau · India · Iraq · Israel · Jordan · Kenya · Kuwait · Lebanon · Liberia · Libya · Madagascar · Malawi · Mali · Mauritania · Mauritius · Morocco · Mozambique · Namibia · Niger (English) Nigeria ·",Tetela,Niger-Congo
Ethnie Tetela on Apple Music,https://music.apple.com/us/artist/ethnie-tetela/204532299,Listen to music by Ethnie Tetela on Apple Music. Find top songs and albums by Ethnie Tetela including Guitare and Pluriarc-lokombe.,Tetela,Niger-Congo
