title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"46][48][49] The nations and territories predominantly populated by Austronesian-speaking peoples are sometimes known collectively as Austronesia.[50]. The group originated from a prehistoric seaborne migration, known as the Austronesian expansion, from Taiwan, circa 3000 to 1500 BCE.",To’abaita,Austronesian
To’abaita Language (MLU) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/mlu/,To’abaita is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family.,To’abaita,Austronesian
To'abaita Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/t/toabaita.php,"If you want to get a flavour of the To'abaita language, check out a small sample at the Language Museum.Solomon Islands (18,400) - Total (18,400). Classification. Austronesian | Malayo-Polynesian.",To’abaita,Austronesian
Glottolog 5.3 - Austronesian,https://glottolog.org/resource/languoid/id/aust1307,"To'abaita. Wala.The arguments that Warembori, along with Yoke, is Austronesian are in fact convincing Mark Donohue 1999 . Also, the best take on the poorly attested Kazukuru language(s) is that they were New Georgia Austronesian Michael Dunn and Malcolm Ross 2007 .",To’abaita,Austronesian
"To'abaita Grammar : Ray, Sidney Herbert : Free... : Internet Archive",https://archive.org/details/rosettaproject_mlu_morsyn-1,"Skip to main content. Due to a planned power outage on Friday, 1/14, between 8am-1pm PST, some services may be impacted.texts. To'abaita Grammar. by. Ray, Sidney Herbert.",To’abaita,Austronesian
OLAC Record: A journey through Austronesian and Papuan linguistic...,http://olac.ldc.upenn.edu/item/oai:pacific.library.manoa.hawaii.edu:3211160,"Includes bibliographical references. Includes linguistic data in the Malagasy, Aceh, Hawaiian, Rongga, Balinese, Indonesian, Tokelauan, Teop, Kate, Numbami, To'abaita, Lavukaleve, Samoan, Maori, Pendau, and Kalam languages. Extent: xvii, 671 pages : illustrations, maps ; 25 cm.",To’abaita,Austronesian
The Complete List of Indigenous Languages In Solomon... - 33travels,https://33travels.com/indigenous-languages-in-solomon-islands/,"Discover the rich linguistic diversity of the Solomon Islands with our complete list of 66 indigenous languages. Explore their language families, primary regions, and estimated speaker numbers in this essential guide to the islands' vibrant cultural heritage.",To’abaita,Austronesian
Jim Jones At Botany Bay - YouTube,https://www.youtube.com/watch?v=2t7Y5k9OIdg,Provided to YouTube by The state51 ConspiracyJim Jones At Botany Bay · Gary ShearstonFolk Songs And Ballads Of Australia℗ 1964 Gary ShearstonReleased on: 201...,To’abaita,Austronesian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",To’abaita,Austronesian
Radio Garden – Explore live radio by rotating the globe,https://radio.garden/,Press play to start Radio Garden.,To’abaita,Austronesian
