title,link,text,language,family
Tobelo language - Wikipedia,https://en.wikipedia.org/wiki/Tobelo_language,"Language family. West Papuan? North Halmahera.The last three dialects are also known as Tugutil. The Tugutil varieties may include additional dialectal variants, but this has not been satisfactorily documented (Voorhoeve 1988). Intelligibility is not great (Ethnologue).",Tugutil,West Papuan
Tugutil - tuj (West Papuan) - PeopleGroups.org,https://peoplegroups.org/language/tuj/,"Tugutil (tuj) is part of the West Papuan family and West Papuan, North Halmahera, Galela-Loloda class. Tugutil speaking People Groups across the world: Fast Facts",Tugutil,West Papuan
Tugutil | Ethnologue Free,https://www.ethnologue.com/language/tuj/,"Tugutil is an endangered indigenous language of Indonesia. It belongs to the West Papuan language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people.",Tugutil,West Papuan
West Papuan Tribe Singing | TikTok,https://www.tiktok.com/discover/west-papuan-tribe-singing,"Kerowai tribe, melody song, West Papua, enchanting music, tribal music, papua, 1millionaudition, West Papua music.Discover uplifting West Papua gospel music that celebrates faith and resilience.",Tugutil,West Papuan
Диана Гурцкая - Mama (Kanye West Cover) » Скачать... | MuzLu,https://muzlu.net/29096-diana-gurckaya-mama-kanye-west-cover.html,Mama (Kanye West Cover). Диана Гурцкая. Скачать.Type Music. Кто ты такая. Radil ANAME.,Tugutil,West Papuan
Helgas Gaoma (Traditional Music) _ West Papuan Reaction,https://www.youtube.com/watch?v=-u9EyAJsa0c,,Tugutil,West Papuan
Wikitongues | tuj,https://wikitongues.org/languages/tuj/,West Papuan. EGIDS Status. 6a - Vigorous. Learn more about Tugutil.Tugutil language Videos. Wikitongues crowd-sources video samples of every language in the world.,Tugutil,West Papuan
OpenFront (АЛЬФА),https://openfront.io/,Papua New Guinea. Pará.West Papua.,Tugutil,West Papuan
Reborn Insanity Codes (July 2026) - 7 Active Codes,https://bloxodes.com/codes/reborn-insanity,West Chicago Codes.Quizzes. Top Pages. Roblox Music IDs.,Tugutil,West Papuan
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Tugutil,West Papuan
