title,link,text,language,family
Tulehu language - Wikipedia,https://en.wikipedia.org/wiki/ISO_639:tlu,"November 10, 2024 - Tulehu (also known as Souw Aman Teru; literally means ""the language of three villages"") is an Austronesian language spoken on Ambon Island in eastern Indonesia, part of a dialect chain of Seram Island.",Tulehu,Austronesian
Taiwanese Indigenous pop music - Wikipedia,https://en.wikipedia.org/wiki/Taiwanese_Indigenous_pop_music,"March 26, 2026 - Taiwanese Indigenous pop music comprises contemporary songs performed in Austronesian languages native to Taiwan, blending modern pop music with Indigenous linguistic and cultural elements. It has steadily gained mainstream recognition over the past two decades, reflecting a broader cultural ...",Tulehu,Austronesian
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,1 week ago - Gong ensembles are also a common musical heritage of Island Southeast Asia. The casting of gong instruments is believed to have originated from the Bronze Age cultures of Mainland Southeast Asia. It spread to the Austronesian islands initially through trade as prestige goods.,Tulehu,Austronesian
Ambon Tulehu song by FocO Maluku from Maluku Manise E (personal CD) on Amazon Music,https://music.amazon.com/tracks/B0CN79W2WK,"Listen to your favourite song Ambon Tulehu from Maluku Manise E (personal CD) by FocO Maluku now. Stream ad-free with Amazon Music Unlimited on mobile, desktop, and tablet. Download our mobile app now.",Tulehu,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"It's a pity that Taiwanese aboriginal songs are rich and various yet there are only a few musical instruments. I found a few and compare them with the ones from Southeast Asia. We all know that twin-pipe nose flutes are only found in Taiwan, and they exist in Paiwan and are documented in Tsou's literature. The Austronesians in Southeast Asia have single-pipe nose flutes instead of twin-pipe nose flutes.",Tulehu,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/channel/UCGAXcH95xpp9X5z3iZDZl6Q,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia. Hope you all enjoy🤗LIKE & SUBSCRIBE + PROMOTE",Tulehu,Austronesian
"Tulehu - Ivan Nestorman: Song Lyrics, Music Videos & Concerts",https://www.shazam.com/song/1673699332/tulehu,"January 15, 2025 - Listen to Tulehu by Ivan Nestorman. See lyrics and music videos, find Ivan Nestorman tour dates, buy concert tickets, and more!",Tulehu,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and Southeast Asia on JSTOR,https://www.jstor.org/stable/j.ctt46mvnd,Australian Indigenous Choices of Repertoire in Community CDs/DVDs:: Recording and Reclaiming Torres Strait Islander Sacred and Secular Music,Tulehu,Austronesian
Austronesian Music,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Tulehu,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Fusion of music from the highlands of Madagascar and western Operetta. ... Melodic, chordophone-dominated sound; based on the Austronesian Music of the first settlers that arrived on the island from Borneo.",Tulehu,Austronesian
