title,link,text,language,family
Tuyuca language - Wikipedia,https://en.wikipedia.org/wiki/Tuyuca_language,"Tuyuca is spoken by the Tuyuca, an indigenous ethnic group of some 500–1000 people, who inhabit the watershed of the Papuri River, the Inambú River, and the Tiquié River in Vaupés Department, Colombia, and Amazonas State, Brazil.",Tuyuca,Tucanoan
"Tuyuca dance and music with bark-wrapped trumpets, Rio Negro ...",https://www.youtube.com/watch?v=ROOi29u4YPo,"Tuyuca dance and music with bark-wrapped trumpets, Rio Negro, Manaus, Brazil",Tuyuca,Tucanoan
"Tuyuca dance and music with palm-wood flutes, Rio Negro ...",https://www.youtube.com/watch?v=WvWtCkDxbU8,"Jun 18, 2023 · Subscribed 2 120 views 2 years ago Tuyuca dance and music with palm-wood flutes, Rio Negro, Manaus, Brazil",Tuyuca,Tucanoan
Tuyuca language - Global Recordings Network,https://globalrecordings.net/en/language/tue,"Audio recordings available in Tuyuca These recordings are designed for evangelism and basic Bible teaching to bring the gospel message to people who are not literate or are from oral cultures, particularly unreached people groups.",Tuyuca,Tucanoan
Tuyuca language and alphabet - Omniglot,https://www.omniglot.com/writing/tuyuca.htm,"Apr 3, 2024 · Tuyuca is an Eastern Tucanoan language spoken mainly in Colombia, and also in Brazil.",Tuyuca,Tucanoan
Tuyuca - linguistics.berkeley.edu,https://linguistics.berkeley.edu/saphon/en/inv/Tuyuca.html,"Fonología del tuyuca. In Viola Waterhouse (ed.), Sistemas fonológicos de idiomas colombianos 3. Bogotá: Ministerio de Gobierno. 123-37. Barnes, Janet and Terrell Malone. 2000. El tuyuca. In María Stella González de Pérez and María Luisa Rodríguez de Montes (eds.), Lenguas indígenas de Colombia: Una visión descriptiva.",Tuyuca,Tucanoan
"Tuyuca Language and the Tuyuca Indian Tribe (Tuyuka, Teyuka ...",https://www.native-languages.org/tuyuca.htm,"Tuyuca language information and the culture, history and genealogy of the Tuyuca Indians.",Tuyuca,Tucanoan
Tucanoan | Ethnologue Free,https://www.ethnologue.com/subgroup/373/,"Tucanoan. Subgroup of 25 languages.Tuyuca tue, a language of Colombia.",Tuyuca,Tucanoan
WALS Online - Family Tucanoan,https://wals.info/languoid/family/tucanoan,Family Tucanoan. Icon size. GeoJSON.Tatuyo. Tucano. Tuyuca. Waimaha.,Tuyuca,Tucanoan
Tuyuca - tue (Tucanoan) - PeopleGroups.org,https://peoplegroups.org/language/tue/,"People Groups who primarily speak Tuyuca. To download a comprehensive people group list in spreadsheet form, visit our Research Data page. Visualize lostness with powerful maps.",Tuyuca,Tucanoan
