title,link,text,language,family
Ulch people - Wikipedia,https://en.wikipedia.org/wiki/Ulch_people,"The Ulch people, also known as Olcha, Olchi or Ulchi, (Russian: ульчи, obsolete ольчи; Ulch: нани, nani) are an Indigenous people of the Russian Far East, who speak a Tungusic language known as Ulch.",Ulch,Tungusic
Tungusic Music - YouTube,https://www.youtube.com/playlist?list=PLyGQ8j9KMELm-Q0a4jr5NswR53H0IYxLo,Tungusic Music. mrqvi. Плейлист • 7 видео • 1 599 просмотров.,Ulch,Tungusic
"Stream ULCH music | Listen to songs, albums, playlists for ...",https://soundcloud.com/ulch,"Play ULCH and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Ulch,Tungusic
Ulch Discography | Discogs,https://www.discogs.com/artist/9190129-Ulch,"Explore music from Ulch. Shop for vinyl, CDs, and more from Ulch on Discogs.",Ulch,Tungusic
Tungusic music - Last.fm,https://www.last.fm/tag/tungusic,"Find tungusic tracks, artists, and albums. Find the latest in tungusic music at Last.fm.",Ulch,Tungusic
"Tungusic peoples Discography: Vinyl, CDs, & More | Discogs",https://www.discogs.com/artist/5953241-Tungusic-peoples,"Explore Tungusic peoples's biography, discography, and artist credits. Shop rare vinyl records, top albums, and more on Discogs.",Ulch,Tungusic
Glottolog 5.2 - Central-Western Tungusic,https://glottolog.org/resource/languoid/id/orok1264,open Central-Western Tungusic. expand all.na 1994. Istorija i kul'tura ul'chei v 17-20 vv. (The History and Culture of the Ulch in the Seventeenth-Twentieth Centuries).,Ulch,Tungusic
"300 Tungusic ideas | older generation, siberia, khabarovsk",https://www.pinterest.com/tempurapedic/tungusic/,"for my tungusic rep. ocs older generation: granny ulch, granny oroqen, granny oroch, granny udege, granny evens younger generation: manchu, xibe, negidal, nanai, evenki, and orok.",Ulch,Tungusic
Category:Ulch terms derived from Tungusic languages - Wiktionary...,https://en.wiktionary.org/wiki/Category:Ulch_terms_derived_from_Tungusic_languages,"Ulch terms that originate from one of the Tungusic languages. This category should, ideally, contain only other categories. Entries can be categorized here, too, when the proper subcategory...",Ulch,Tungusic
Ulcha language Research Papers - Academia.edu,https://www.academia.edu/Documents/in/Ulcha_language,"Ulcha language is a member of the Tungusic language family, primarily spoken by the Ulch people in the Russian Far East. It is characterized by its unique phonetic and grammatical features...",Ulch,Tungusic
