title,link,text,language,family
Uneapa language - Wikipedia,https://en.wikipedia.org/wiki/Uneapa_language,"Uneapa is an Oceanic language spoken by about 10,000 people on the small island of Bali, north of West New Britain in Papua New Guinea. It is perhaps a dialect of neighboring Vitu.",Uneapa,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ...,https://www.jstor.org/stable/j.ctt46mvnd,"The Torres Strait region of far northeastern Australia is not only a major Austronesian maritime passageway that links the Pacific and Indian Oceans, it is also a cultural crossroads.",Uneapa,Austronesian
Austronesian soundscapes : performing arts in Oceania and ...,https://library.search.tulane.edu/discovery/fulldisplay/alma9945221784706326/01TUL_INST:Tulane,In Austronesia' the region that stretches from Madagascar in the west to Easter Island in the east-music plays a vital role in both the construction and expression of social and cultural identities. Yet research into the music of Austronesia has hitherto been sparse.,Uneapa,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ...,https://www.iias.asia/books/austronesian-soundscapes-performing-arts-oceania-and-southeast-asia,"This volume is organised as a musical view on the historical map of the Austronesian expansion, attempting for the first time to see how the performing arts contribute to understanding the interlinkages of this immense cultural area and thus providing a fresh and welcome view on these understudied, yet extremely diverse musical cultures.""",Uneapa,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ...,https://books.google.com/books/about/Austronesian_Soundscapes.html?id=3selq5OHj88C,In Austronesia—the region that stretches from Madagascar in the west to Easter Island in the east—music plays a vital role in both the construction and expression of social and cultural...,Uneapa,Austronesian
Introduction - Austronesian Soundscapes,https://www.cambridge.org/core/books/austronesian-soundscapes/introduction/78278DD9E242CD946CC2DDF1278401D0,"Jan 20, 2021 · Conventionally divided into Taiwan, the Malay Archipelago, Oceania, and Madagascar, Austronesia comprises a huge number of diverse cultural traditions, bound together by their affiliation with the Austronesian expansion and language family, and a shared ancestry.",Uneapa,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Austronesian culture includes more than 1200 ethnic groups, across South Asia, Southeast Asia, Taiwan, the Philippines, parts of China, as well as the Pacifi...",Uneapa,Austronesian
Austronesian Soundscapes - Cambridge University Press ...,https://www.cambridge.org/core/books/austronesian-soundscapes/8B714F18DC010F5F8E4997353C4B18BA,In Austronesia' the region that stretches from Madagascar in the west to Easter Island in the east-music plays a vital role in both the construction and expression of social and cultural identities. Yet research into the music of Austronesia has hitherto been sparse.,Uneapa,Austronesian
Uneapa Language (BBN) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/bbn/,Uneapa is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family.,Uneapa,Austronesian
Uneapa - bbn (Austronesian) - PeopleGroups.org,https://peoplegroups.org/language/bbn/,"People Groups who primarily speak Uneapa. To download a comprehensive people group list in spreadsheet form, visit our Research Data page. Visualize lostness with powerful maps.",Uneapa,Austronesian
