title,link,text,language,family
Here's another tune from Gaulim village. NBC East New Britain ...,https://www.facebook.com/ncbeastnewbritain/videos/heres-another-tune-from-gaulim-villagenbc-east-new-britain-is-pleased-to-share-w/618215414441335/,"Aug 24, 2025 · Here's another tune from Gaulim village. NBC East New Britain is pleased to share with you this tune in the Ura language of the Uramat clan.",Ura,East New Britain
ENB MUSIC PLAYLIST,https://music.youtube.com/playlist?list=PLEkVxGA8Ta1vkJQIwFadTAVXae3nRlUot,"Music from the East New Britain Province of Papua New Guinea artists from the 70s, 80s & 90s.",Ura,East New Britain
ENB MUSIC PLAYLIST - YouTube,https://www.youtube.com/playlist?list=PLEkVxGA8Ta1vkJQIwFadTAVXae3nRlUot,"Music from the East New Britain Province of Papua New Guinea artists from the 70s, 80s & 90s.",Ura,East New Britain
RABAUL-STRINGBAND MUSIC. - Facebook,https://www.facebook.com/groups/139180829442142/,"Oct 2, 2010 · The most sucessfull music in PNG is the STRINGBAND MUSIC/SOUNDS of RABAUL on the island of New Britain. Unlike all other PNG music,Rabaul Stringband music is sold worldwide and keeps attracting music experts to Rabaul to film and doccument this unique original Rabaul sound.",Ura,East New Britain
"Music in Rabaul, Gazelle Peninsula, ENBP and New Guinea ...",https://researchdata.edu.au/1438974/1438974,Recordings of a wide range of music in Rabaul 1950s-1990s covering areas of the Gazelle Peninsula of East New Britain Province and the New Guinea Islands Region. This collection was the PhD research work by Dr Michael Webb focused on music of Melanesia in the Pacific.,Ura,East New Britain
The Insider Archivist: Collecting Music Recordings from East ...,https://www.paradisec.org.au/blog/2025/03/the-insider-archivist-collecting-music-recordings-from-east-new-britain-enb/,"Mar 5, 2025 · She is proud of her involvement in this important project of digitisating and preserving of choral music, hymnals and songs and music from East New Britain Province, PNG into international archives.",Ura,East New Britain
Explore Tolai Rock Music from East New Britain | TikTok,https://www.tiktok.com/@tallenough4u/video/7575311735092038933,Discover the captivating Tolai rock music from East New Britain. Immerse yourself in this unique culture and its vibrant sounds! #eastnewbritain #tolairock.,Ura,East New Britain
East Coast – скачать все песни в отличном качестве MP3 (320 kbps),https://soundse.net/show/east-coast,"На этой странице вы можете скачать трек East Coast: alexgoffline - east coast, Alex G - East Coast, alex g - east coast (slowed), A$AP Ferg feat. Remy… и другие рингтоны на звонок.East Coast — слушать и скачивать бесплатно.",Ura,East New Britain
ENB Music Fraternity hands over body of Late John... - Post Courier,https://www.postcourier.com.pg/enb-music-fraternity-hands-over-body-of-late-john-warbat-mbe-to-family/,The East New Britain Music Fraternity watches as the casket of Late John Warbat MBE is officially taken by immediate family.,Ura,East New Britain
New Eastern Outlook,https://journal-neo.su/,"Indonesia’s relations with Russia have entered a new phase marked by intensified economic and geopolitical cooperation, particularly in the context of Eurasian regional development.",Ura,East New Britain
