title,link,text,language,family
Trans–New Guinea languages - Wikipedia,https://en.wikipedia.org/wiki/Trans–New_Guinea_languages,"Trans–New Guinea (TNG) is an extensive family of Papuan languages spoken on the island of New Guinea and neighboring islands, a region corresponding to the country Papua New Guinea as well as parts of Indonesia.",Utarmbung,Trans-New Guinea
Utarmbung language - Wikipedia,https://en.wikipedia.org/wiki/Utarmbung_language,"Osum, also known as Utarmbung, is a divergent Madang language of the Adelbert Range of Papua New Guinea.",Utarmbung,Trans-New Guinea
"Utarmbung Language (OMO) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/omo/,"Utarmbung is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Utarmbung,Trans-New Guinea
Language: Utarmbung - transnewguinea.org,https://www.transnewguinea.org/language/utarmbung,"Information: Glottocode: utar1238 ISO 639: omo Also Known As: Osum Sources: Z'graggen (1980) Classification: Trans-New Guinea, Madang, South Adelbert Range, Josephstaal, Osum",Utarmbung,Trans-New Guinea
Top 100: Papua New Guinea - Playlist - Apple Music,https://music.apple.com/pg/playlist/top-100-papua-new-guinea/pl.30fbe54afbf846edabdbe00e90095d04,Listen to the Top 100: Papua New Guinea playlist on Apple Music. 100 Songs. Duration: 6 hours 33 minutes.,Utarmbung,Trans-New Guinea
lexibank - Variety Utarmbung,https://lexibank.clld.org/languages/transnewguineaorg-utarmbung,"Dataset CLDF dataset derived from Greenhill's ""TransNewGuinea.org"" from 2015 Zenodo: 10.5281/zenodo.5141620 GitHub: lexibank/transnewguineaorg [v3.0] Source: Greenhill, Simon J. 2015. TransNewGuinea.org: An Online Database of New Guinea Languages. PLoS ONE 10. e0141563. Public Library of Science.",Utarmbung,Trans-New Guinea
Trans New Guinea [Newguineaworld],https://newguineaworld.linguistik.uzh.ch/families/trans-new-guinea/start,"Trans New Guinea. Timothy Usher, Santa Fe Institute. The Trans New Guinea family was proposed by McElhanon and Voorhoeve (1970,) and has since been broadly accepted, though its evidentiary basis had never been well-defined.",Utarmbung,Trans-New Guinea
Utarmbung - omo (Trans-New Guinea) - PeopleGroups.org,https://peoplegroups.org/language/omo/,"Utarmbung (omo) is part of the Trans-New Guinea family and Trans-New Guinea, Madang, South Adelbert, Josephstaal, Osum class.",Utarmbung,Trans-New Guinea
database of the languages of New Guinea,https://transnewguinea.org/language/utarmbung,"Classification: Trans-New Guinea, Madang, South Adelbert Range, Josephstaal, Osum. Map: ResourcesMultitree language relationships for Utarmbung.",Utarmbung,Trans-New Guinea
Utarmbung language — Grokipedia,https://grokipedia.com/page/utarmbung_language,"Utarmbung, also known as Osum, is classified as a Trans-New Guinea language within the Madang branch, specifically belonging to the Southern Adelbert subgroup of the Adelbert Range languages in Papua New Guinea.",Utarmbung,Trans-New Guinea
