title,link,text,language,family
"Vinitiri Language (VMG) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/vmg/,Vinitiri is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Vinitiri,Austronesian
A Grammar of Vinitiri: An Austronesian Language of Papua New ...,https://books.google.com/books/about/A_Grammar_of_Vinitiri.html?id=c7fPSAAACAAJ,"This thesis is a grammar of Vinitiri, an Austronesian language spoken in East New Britain, Papua New Guinea by approximately 2,000 people. It is based primarily on data collected in the...",Vinitiri,Austronesian
Austronesian Music & Instruments - YouTube,https://www.youtube.com/watch?v=2MI-S_5gG3Y,School: National Taiwan Normal UniversityCourse: Comparative study of Cultural Zone on Austronesian Music (II)Venue: Music Building AnnexDate: 9 June 2025.,Vinitiri,Austronesian
Vinitiri - vmg (Austronesian) - PeopleGroups.org,https://peoplegroups.org/language/vmg/,"People Groups who primarily speak Vinitiri. To download a comprehensive people group list in spreadsheet form, visit our Research Data page. Visualize lostness with powerful maps.",Vinitiri,Austronesian
musictheory.net,https://www.musictheory.net/lessons/57,Common Chord Progressions - Music Theory.,Vinitiri,Austronesian
Lang Documentation: Van Der Mark: 'A Grammar of Vinitiri: An ...',https://linguistlist.org/issues/19/19-612/,"This thesis is a grammar of Vinitiri, an Austronesian language spoken inEast New Britain, Papua New Guinea by approximately 2,000 people.",Vinitiri,Austronesian
Code Mixing in Vinitiri and Kuanua: Ingenta Connect,https://www.ingentaconnect.com/contentone/cls/pcls/2006/00000042/00000002/art00010,"In the Ataliklikun Bay area of East New Britain Province in Papua New Guinea, code mixing is common between two Austronesian languages, Vinitiri and Kuanua.",Vinitiri,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Vinitiri,Austronesian
Item - A grammar of Vinitiri : an Austronesian language of ...,https://opal.latrobe.edu.au/articles/thesis/A_grammar_of_Vinitiri_an_Austronesian_language_of_Papua_New_Guinea/32284155,"Dec 31, 2006 · The Author.",Vinitiri,Austronesian
LINGUIST List 19.612: Lang Documentation: Van Der Mark: 'A ...,https://linguistlist.org/issues/19/612/,"The following three chapters examine aspects of the Vinitiri grammar from afunctional perspective. Chapter 13 looks at the concept of number inVinitiri, chapter 14 examines spatial reference, and chapter 15 discussespossession.",Vinitiri,Austronesian
