title,link,text,language,family
Republic of the Congo - Wikipedia,https://en.wikipedia.org/wiki/Republic_of_the_Congo,"The Republic of the Congo, also known as Congo-Brazzaville, the Congo Republic or simply Congo, is a country located on the western coast of Central Africa to the west of the Congo River.",Voro,Niger-Congo
Glottolog 5.3 - Atlantic-Congo,https://glottolog.org/resource/languoid/id/atla1278,Leetugal Niger Fulfulde. Lala (Nigeria). Roba. Yungur-Voro (2).,Voro,Niger-Congo
"Full text of ""enwiki-Voro_language-20200726.pdf""",https://archive.org/stream/enwiki-Voro_language-20200726.pdf/enwiki-Voro_language-20200726_djvu.txt,"Voro (VDrD, a.k.a, Bena, Buna, Ebina, Ebuna, Woro, Yungur) is an Adamawa language of Nigeria. References. 1. Hammarstrom, Harald; Forkel, Robert; Haspelmath, Martin, eds.Region. Adamawa State. Language. family. Niger-Congo.",Voro,Niger-Congo
Voro language resources | Joshua Project,https://joshuaproject.net/index.php/languages/vor,Voro language resources. Listing of people groups speaking Voro. Voro dialects and alternate names. Bible and ministry resource availability.,Voro,Niger-Congo
Hot congo music nigerian congo highlife music,https://www.youtube.com/watch?v=2DwaH72hmrQ,,Voro,Niger-Congo
Adamawa-Ubangi | Ethnologue Free,https://www.ethnologue.com/subgroup/546/,"Voro vor, a language of Nigeria. Ubangi 70. Banda 16.Banda, Mid-Southern bjo, a language of Central African Republic. Gobu gox, a language of Democratic Republic of the Congo.",Voro,Niger-Congo
Online departures flight schedule of Vnukovo international airport,https://www.vnukovo.ru/en/for-passengers/flights/online/?bound=departure,Congo+242. Cook Islands+682. Costa Rica+506.,Voro,Niger-Congo
Nonimmigrant Visa - Instructions Page,https://ceac.state.gov/genniv/,"...Ulaanbaatar montenegro, podgorica morocco, casablanca mozambique, maputo namibia, windhoek nepal, kathmandu netherlands, amsterdam new zealand, auckland nicaragua, managua niger, niamey nigeria...",Voro,Niger-Congo
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Voro,Niger-Congo
alternatehistory.com,https://www.alternatehistory.com/,"Alternate History Discussion: After 1900. General discussion about alternate history scenarios where the divergence from real history happens from 1900 AD onward. Post ""what if"" questions and talk about the results. NOT debates about presen...",Voro,Niger-Congo
