title,link,text,language,family
Wampanoag,https://grokipedia.com/page/Wampanoag,"The name Wampanoag is the autonym, or self-designation, of an Algonquian-speaking Native American people inhabiting southeastern Massachusetts and adjacent areas prior to...",Wampanoag,Algic
musictheory.net,https://www.musictheory.net/lessons/23,Scale Degrees - Tonic - Music Theory.,Wampanoag,Algic
Wampanoag (Extinct) Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/w/wampanoag.php,"If you want to get a flavour of the Wampanoag (Extinct) language, check out a small sample at the Language Museum.",Wampanoag,Algic
Our Mother Tongues | Wampanoag,http://www.ourmothertongues.org/language/Wampanoag/12,"The project’s Wampanoag dictionary now includes over 13,000 words, with more and more students learning the language every year.",Wampanoag,Algic
Algic | Ethnologue,https://web.archive.org/web/20160912144400/https://www.ethnologue.com/subgroups/algic-1,Wampanoag [wam] (A language of United States).,Wampanoag,Algic
AidanEM - Algic,https://www.aidanem.com/tag/algic.html,Wampanoag Mâseepee Large Water (place name) [2]. English Mashpee. Wampanoag *mish-tahssôt high king.,Wampanoag,Algic
Glottolog 5.3 - Wampanoag,https://glottolog.org/resource/languoid/id/wamp1249,"collapse all. Algic (47). Wampanoag (10009-wam) = Awakening (The language is undergoing revitalization, thanks to the effort of the Wopanaak Language Reclamation Project.)",Wampanoag,Algic
Hovhannisyan Music - Qaminer / Ветры скачать... | im-mp3.net,https://im-mp3.net/7526-hovhannisyan-music-qaminer-vetry.html,Исполнитель: Hovhannisyan Music. Слушали: 1 548. Размер: 8.84 MB.,Wampanoag,Algic
"A Thing of Beauty: The Pilgrims, the Wampanoag, and... - YouTube",https://www.youtube.com/watch?v=rvI0nnsH3sQ,"This year marks the 400th anniversary of the arrival of the Mayflower. For many Native Americans, the commemoration of the arrival of the Pilgrims is a day o...",Wampanoag,Algic
washingtonpost.com/history/2021/11/04/thanksgiving-anniversary...,https://www.washingtonpost.com/history/2021/11/04/thanksgiving-anniversary-wampanoag-indians-pilgrims/,The Wampanoags - the native folks who helped out the Plymouth settlers...,Wampanoag,Algic
