title,link,text,language,family
Wanamara - Wikipedia,https://en.wikipedia.org/wiki/Wanamara,Wanamara The Wanamara (Wunumara) were an Aboriginal Australian people of the state of Queensland.,Wunumara,Australian
Emily Wurramara - Wikipedia,https://en.wikipedia.org/wiki/Emily_Wurramara,"Emily Wurramara is an Indigenous Australian / Filipino singer and songwriter. At the 2024 ARIA Music Awards, she won the ARIA Award for Best Adult Contemporary Album, making her the first Indigenous woman to ever win in this category.",Wunumara,Australian
"Noongar Music, Song, Dance, and Language | Mayakeniny",https://www.mayakeniny.com/,"mayakeniny means 'sound dancing'. This website showcases the Noongar music, song, dance, and language outputs of the project",Wunumara,Australian
Wunumara - About The North,https://aboutthenorth.au/styled-59/styled-131/styled-184/styled-238/styled-900/,"Wunumara The AIATSIS Map of Indigenous Australia places the Wunumara (alternatively, Wanamara, Wunamara, Woonamurra, Woonomurra, Unamara, Oonoomurra or Quippen-bura — possibly a northern horde near Richmond), with the Yirandali to the east, the Guwa to the south, the Yanda to the southwest, the Kalkadoon to the west, the Mayi-Thakurti to the ...",Wunumara,Australian
Australian Aboriginal Music - 30 Powerful Indigenous Voices and ...,https://www.muzeap.com/australian-aboriginal-music/,"Explore our curated collection of Australian Aboriginal Music, highlighting diverse traditions, historical context, and cultural continuity through 30 carefully selected songs.",Wunumara,Australian
Emily Wurramara: song sung in the language of ancestors [-O ...,https://m.youtube.com/watch?v=kkkvU7VXZt0,"Musician Emily Wurramurra writes her music in Anindilyakwa and English. She shares what her first nation language means to her, and the role it has played in her healing and creativity.",Wunumara,Australian
Gurrumul Official - YouTube,https://www.youtube.com/channel/UCdno-09054UAPFEw2jl-q4g,"""Australia's Most Important Voice"" (Rolling Stone Australia). Born blind, the Indigenous Australian singer/songwriter Gurrumul grew up as a member of the Gumatj clan on Elcho Island, off the ...",Wunumara,Australian
Wanamara Facts for Kids,https://kids.kiddle.co/Wanamara,"Wanamara facts for kids The Wanamara (also called Wunumara) were an Aboriginal Australian people. They lived in the state of Queensland, Australia. Where the Wanamara Lived The Wanamara people lived on a large area of land. According to Norman Tindale, a famous researcher, their traditional lands covered about 33,700 square kilometers (or 13,000 square miles).",Wunumara,Australian
First Nations Sounds of Australia | NFSA,https://www.nfsa.gov.au/collection/curated/indigenous-sounds-australia-christine-anu-archie-roach-yothu-yindi-and-more,"This collection features sound recordings with cultural, historical and aesthetic significance that are by or about First Nations Australians.",Wunumara,Australian
Wanamara (QLD) | SA Museum,https://www.samuseum.sa.gov.au/collection/archives/language_groups/wanamara,It is a condition of use of the cultural components of the Museum Archives that users ensure that any disclosure of information contained in this collection is consistent with the views and sensitivities of Indigenous people. Users are warned that there may be words and descriptions that may be culturally sensitive and which might not normally be used in certain public or community contexts ...,Wunumara,Australian
