title,link,text,language,family
Xincan languages - Wikipedia,https://en.wikipedia.org/wiki/Xincan_languages,"Xinca (or Xinka, Sinca, or Szinca) is a small extinct family of Mesoamerican languages; formerly, the language was regarded as a single language isolate. Xinca was once spoken by the Indigenous Xinca people in southeastern Guatemala, parts of El Salvador, and Honduras.",Xinca,Language isolate
Indigenous peoples of the Americas - Wikipedia,https://en.wikipedia.org/wiki/Indigenous_peoples_of_the_Americas,"... languages, music and arts. Old Crow Flats and Bluefish ... The Law on National Languages recognizes 23 Indigenous languages including Xinca ...",Xinca,Language isolate
Xinka Musical Instruments and Traditions | PDF - Scribd,https://www.scribd.com/document/912132613/Xinca-Music-Guatemala,"The document discusses the musical instruments and dances of the Xinka people, detailing various instruments such as trumpets, flutes, rattles, and drums, as well as their cultural significance.",Xinca,Language isolate
Xinka Cultural Dances and Music | PDF | Musical Instruments ...,https://www.scribd.com/document/955641670/Xinca-Music,"The document describes various traditional dances and musical instruments of the Xinka community in Chiquimulilla, Santa Rosa, highlighting their cultural significance.",Xinca,Language isolate
Xincan languages — Grokipedia,https://grokipedia.com/page/Xincan_languages,"The Xincan languages lack established genetic affiliations with any other language families, positioning them as a small isolate family within the Mesoamerican linguistic area.",Xinca,Language isolate
Xincan languages - Wikiwand,https://www.wikiwand.com/en/articles/Xinca_language,"Xinca (or Xinka, Sinca, or Szinca) is a small extinct family of Mesoamerican languages; formerly, the language was regarded as a single language isolate. Xinca was once spoken by the Indigenous Xinca people in southeastern Guatemala, parts of El Salvador, and Honduras.",Xinca,Language isolate
"Xinca Language and the Xinca Indian Tribe (Xinka, Shinka ...",https://www.native-languages.org/xinca.htm,"Language: The Xinca Indians are native people of Central America. Though there are more than 200,000 people of Xinca descent in Guatemala today and probably others in neighboring El Salvador, the Xinca language has not been spoken in their communities for 50 years.",Xinca,Language isolate
A Reception Study of Rock-Maya Music in Guatemala,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=2458&context=etd,... songs that would help our culture and language survive and not disappear. . . . Like the Xinca culture and language has disappeared.” Kab'awil listeners are ...,Xinca,Language isolate
Xinca people - Grokipedia,https://grokipedia.com/page/Xinca_people,"Their Xinca language, a Mesoamerican isolate comprising a small family of four closely related dialects once spoken exclusively in Santa Rosa Department ...",Xinca,Language isolate
CoMParatiVe liNGUistiCs oF MesoaMeriCaN laNGUaGes todaY,https://ojs.ehu.eus/index.php/Veleia/article/download/16827/15675/0,"Keywords: Mesoamerican languages, comparative method, language classification, sound ... Huave is another language isolate, with four principal dialects, spoken ...",Xinca,Language isolate
