title,link,text,language,family
Yali language - Wikipedia,https://en.wikipedia.org/wiki/Yali_language,"Yali (Apahapsili) DoReCo corpus compiled by Sonja Riesberg. Audio recordings of narrative texts with transcriptions time-aligned at the phone level, translations, and time-aligned morphological annotations.","Yali, Angguruk",Trans-New Guinea
Indigenous people of New Guinea - Wikipedia,https://en.wikipedia.org/wiki/Indigenous_people_of_New_Guinea,"The Indigenous peoples of Papua New Guinea and of Western New Guinea in Indonesia, commonly called Papuans, are Melanesians. There is genetic evidence for ...","Yali, Angguruk",Trans-New Guinea
"Language: Yali, Angguruk - transnewguinea.org",https://transnewguinea.org/language/yali-angguruk?sort=-id,"Information: Glottocode: angg1239 ISO 639: yli Also Known As: Jalimo Angguruk Sources: Bromley (1967) Classification: Trans-New Guinea, West, Dani, Ngalik","Yali, Angguruk",Trans-New Guinea
nyanyian rohani bahasa yali angguruk #angguruk #yahukimo # ...,https://www.youtube.com/watch?v=HoLIohBMd1g,"Nov 29, 2025 · Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.","Yali, Angguruk",Trans-New Guinea
Yali Discography | Discogs,https://www.discogs.com/artist/1326852-Yali,Releases Categories Filters Showing 0 - 0 of 0 Prev Next Filters Year Show 25 50 100 250 500 Year New artist page beta,"Yali, Angguruk",Trans-New Guinea
LAGU LOKAL DARI SUKU YALI PANGGEMA ANGGURUK - YouTubeYali - Free Music - CLiGGO MUSICYali | The Language Archive,https://www.youtube.com/watch?v=MD5wIkGSUs0,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube. Please use this ""artist"" name (or any language variation thereof, via an ANV) for Angguruk, Ngalik, Yali people. Feb 28, 2026 · The Yali Zoellner Collection contains audio recordings and text collections from Angguruk, compiled by the German missionary Siegfried Zöllner, who has been working in that area since the early 1960ies.","Yali, Angguruk",Trans-New Guinea
Yali - Free Music - CLiGGO MUSIC,https://music.cliggo.com/artist/1326852-Yali,"Please use this ""artist"" name (or any language variation thereof, via an ANV) for Angguruk, Ngalik, Yali people.","Yali, Angguruk",Trans-New Guinea
Yali | The Language Archive,https://archive.mpi.nl/tla/islandora/object/tla:1839_00_0000_0000_0017_EA2F_C,"Feb 28, 2026 · The Yali Zoellner Collection contains audio recordings and text collections from Angguruk, compiled by the German missionary Siegfried Zöllner, who has been working in that area since the early 1960ies.","Yali, Angguruk",Trans-New Guinea
"Yali is a major tribal group living in the West Papua in Indonesia, in ...",https://www.facebook.com/ladybee1980/posts/yali-is-a-major-tribal-group-living-in-the-west-papua-in-indonesia-in-a-very-iso/10208783297513640/,"Jun 15, 2016 ... Language and Identity • The Yali language belongs to the Trans–New Guinea language family. ... Yali's Tribe People from Angguruk Village In West ...","Yali, Angguruk",Trans-New Guinea
Types and Functions of Music in the Eastern Highlands of West Irian,https://www.jstor.org/stable/851195,"Angguruk/trans. Page 12. 452 ... Native Music of Western New Guinea."" In Kunst 1967:99-178. 1967 Music in New Guinea: Three Studies, by Jaap Kunst Jr.","Yali, Angguruk",Trans-New Guinea
