title,link,text,language,family
Kaai Yuki - Wikipedia,https://en.wikipedia.org/wiki/Kaai_Yuki,"""Vocaloid 2: Song of Kaai Yuki"" is a Vocaloid voice library developed by AHS. It was released as a voice plugin for Vocaloid 2 Editor on December 4, 2009. The ...",Yuki,Yukian
yuki - YouTube Music,https://music.youtube.com/@yukiSMEJ,"Yuki Kuramochi, known professionally as Yuki, is a Japanese singer. She is best known as the lead vocalist for Judy and Mary. She founded Judy and Mary in ...",Yuki,Yukian
"An Ending Unknown - song and lyrics by Yuki Kanesaka, Mandi",https://open.spotify.com/track/191fExvk6NqzwyW9jZg6LS,Popular Singles and EPs by Yuki Kanesaka ; 映画「MY (K)NIGHT」サウンドトラック [Vol.2：『左手のカルティエ』]. EP • 2023 ; Rainbow Across the Sky. Single • 2023.,Yuki,Yukian
Sakura Yuki - YouTube,https://www.youtube.com/@Sakura_Yuki_NC,Sakura Yuki - Encore · My Cover Songs (Sakura Yuki) - Nightcore · For Those Who Want More (Sakura Yuki) - Nightcore.,Yuki,Yukian
Kaai Yuki | Vocaloid Wiki - Fandom,https://vocaloid.fandom.com/wiki/Kaai_Yuki,Kaai Yuki VOCALOID2 VOCALOID4 | Songs Albums Notable Originals Kaai Yuki (歌愛ユキ) is a Japanese VOCALOID developed and distributed by AH-Software Co.,Yuki,Yukian
Japanese funk? 🌫️ song name: Montagem Yuki #funk #edit #viral ...,https://www.instagram.com/reel/DTrVJb3E7Iu/?hl=en,"Jan 18, 2026 ... ... Japanese funk? 🌫️ song name: Montagem Yuki #funk #edit #viral #brazilianfunk #music #jpop #japanese #japanesefunk"".",Yuki,Yukian
Yuki Music,https://music.youtube.com/playlist?list=PLv-DKh9oC8eg2erd9afmf-uHMRUHJ-Unn,"Listen to YUKI MUSIC on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Yuki,Yukian
YUKI - YouTube Music,https://music.youtube.com/playlist?list=PLwH8Tc3IPxkEwjUjJEjU6FYxRMPlwI305,"Listen to YUKI on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Yuki,Yukian
YUKI YouTube Official Channel - YouTube,https://www.youtube.com/channel/UCwYZk061Aw91ZtIid0fmkQg,"YUKI ""Koboreteshimauyo"" YUKI YouTube Official Channel 1.3M views • 2 years ago 4:02",Yuki,Yukian
YUKI Essentials - Playlist - Apple Music,https://music.apple.com/us/playlist/yuki-essentials/pl.9eb80ca80b69461e8443eace737befd5,"Yuki zips freely between styles, never settling for just one sound when so many are ripe for exploration. After going solo, the former lead singer of '90s pop-rock act Judy and Mary initially revisited the empowering guitar sound of her band days. But she has since branched off into pulsing electro-pop as well as heavyhearted disco focused on the pain of being alone. She's an endlessly ...",Yuki,Yukian
