title,link,text,language,family
Yele language - Wikipedia,https://en.wikipedia.org/wiki/Yele_language,"The Yele language, or Yélî Dnye (IPA: [ˈjelɯ ʈɳʲɛ]), is the language of Rossel Island, the easternmost island in the Louisiade Archipelago off the eastern tip of Papua New Guinea.",Yélî Dnye,Yele-West New Britain
Yele - West New Britain languages - Wikipedia,https://en.wikipedia.org/wiki/Yele_–_West_New_Britain_languages,"Yele - West New Britain is a tentative language family proposal by Malcolm Ross that unites three languages: Anêm and Ata (Wasi) of western New Britain, and more dubiously Yélî Dnye (Yele) of Rossel Island. These were classified as East Papuan languages by Stephen Wurm, but this does not now seem tenable.",Yélî Dnye,Yele-West New Britain
WEST NEW BRITAIN SONGS - YouTube Music,https://music.youtube.com/playlist?list=PLAdKoTeXaAqdOozIb0MEOQjdmjOMyZxcn,"Listen to WEST NEW BRITAIN SONGS on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Yélî Dnye,Yele-West New Britain
WNB Music - YouTube,https://www.youtube.com/playlist?list=PLtrha6E0Ai5SIP0B9H00_gmj3ekRVghur,Contain West New Britain Music,Yélî Dnye,Yele-West New Britain
"Yélî Dnye Language (YLE) - L1 & L2 Speakers, Status ... - Ethnologue",https://www.ethnologue.com/language/yle/,Yélî Dnye is a stable indigenous language of Papua New Guinea. It belongs to the Yele-West New Britain language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Yélî Dnye,Yele-West New Britain
Yele language - Wikiwand,https://www.wikiwand.com/en/Yele_language,"The Yele language, or Yélî Dnye, is the language of Rossel Island, the easternmost island in the Louisiade Archipelago off the eastern tip of Papua New Guinea. There were an estimated 5,000 speakers in 2015, comprising the entire ethnic population. It is known for its many doubly articulated consonants. The language remains unclassified by linguists.",Yélî Dnye,Yele-West New Britain
Yele language - Omniglot,https://www.omniglot.com/writing/yele.htm,"Yele (Yélî Dnye) Yele is spoken by about 5,000 people on Rossel Island in the Louisiade Archipelago in Milne Bay Province in the east of Papua New Guinea. Some linguists classify Yele as an East Papuan language possibly related to other languages of New Britain, such as Anêm and Ata, while others classify it as a language isolate.",Yélî Dnye,Yele-West New Britain
West New Britain Music Association- WNBMA | Facebook,https://www.facebook.com/groups/899347736907626/,"The Ancient Dusk ""Village Boy"" music program is gaining momentum. We are finalizing Ward 4 with the reemergence of our village's iconic StringBand, the ""Creek-Siders StringBand"" of Bola Village. We are grateful for the interest shown to this program by the media, who will feature this story and the impact of the #AncientDusk music brand.",Yélî Dnye,Yele-West New Britain
Yele language - grokipedia.com,https://grokipedia.com/page/Yele_language,"Yélî Dnye (also known as Yele) is a Papuan language isolate spoken exclusively by around 5,000 people (as of 2015) on Rossel Island, a remote island in the Louisiade Archipelago off the eastern coast of Papua New Guinea. The language serves as the primary means of communication for the island's inhabitants, with minimal influence from neighboring Austronesian languages, though it ...",Yélî Dnye,Yele-West New Britain
Yele language - Wikiwand,https://www.wikiwand.com/en/articles/Yélî_Dnye_language,"The Yele language, or Yélî Dnye, is the language of Rossel Island, the easternmost island in the Louisiade Archipelago off the eastern tip of Papua New Guinea. ...",Yélî Dnye,Yele-West New Britain
