title,link,text,language,family
Cajonos Zapotec - Wikipedia,https://en.wikipedia.org/wiki/Cajonos_Zapotec,"Cajonos Zapotec (Southern Villa Alta Zapotec, Zapoteco de San Pedro Cajonos) is a Zapotec language of Oaxaca, Mexico. It is spoken in several towns named Cajonos, as well as, San Pedro Cajonos, San Pablo Yaganiza and Xagacía.","Zapotec, Cajonos",Otomanguean
Zapotec languages - Wikipedia,https://en.wikipedia.org/wiki/Zapotec_languages,"Zapotec and the related Chatino languages together form the Zapotecan subgroup of the Oto-Manguean language family. Zapotec languages (along with all Oto-Manguean languages) form part of the Mesoamerican Linguistic Area, an area of linguistic convergence developed throughout millennia of interaction between the peoples of Mesoamerica. As a result, languages have acquired characteristics from ...","Zapotec, Cajonos",Otomanguean
OLAC resources in and about the Cajonos Zapotec language,http://www.language-archives.org/language/zad,"Other known names and dialect names: San Mateo Zapotec, Southern Villa Alta Zapotec, Xagacía Zapotec, Yaganiza, Yaganiza Zapotec, Cajonos Zapotec, Zapoteco de San Pedro Cajonos Use faceted search to explore resources for Cajonos Zapotec language.","Zapotec, Cajonos",Otomanguean
CANCIONES EN ZAPOTECO - YouTube Music,https://music.youtube.com/playlist?list=PL8ko2kQ3UqmdNZfbz-2_QUxmRhh40kQwr,"Listen to CANCIONES EN ZAPOTECO on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Zapotec, Cajonos",Otomanguean
Adalberto speaking San Juan Del Rio Zapotec | Valley Zapotec ... - YouTube,https://m.youtube.com/watch?v=3waS1hmNVig,"San Juan Del Río Zapotec is a Zapotec language primarily spoken in the Valles Centrales Region of Oaxaca, Mexico. It is a dialect of Western Tlacolula Valley Zapotec spoken by the indigenous ...","Zapotec, Cajonos",Otomanguean
Zapotec Music - playlist by José Antonio Rodríguez Cortés | Spotify,https://open.spotify.com/playlist/7ETTtxn9lqpaECej81hh1Y,Zapotec Music · Playlist · 11 songs · 57 likes,"Zapotec, Cajonos",Otomanguean
Sonidos de la Nación Zapoteca - Podcast de gubidxaguerrero,https://poderato.com/gubidxaguerrero/sonidos-de-la-nacin-zapoteca,"Aquí pueden escuchar y/o descargar gratuitamente canciones de Guidxizá, la Patria Zapoteca. Porque la música binnizá es de flauta y tambor, de voz humana y de i...","Zapotec, Cajonos",Otomanguean
Listen to music albums featuring Lengua zapoteca de Cajonos - Oaxaca by ...,https://soundcloud.com/inpimx/lengua-zapoteca-de-cajonos/albums,Discover and play music albums featuring Lengua zapoteca de Cajonos - Oaxaca by INPImx on desktop and mobile.,"Zapotec, Cajonos",Otomanguean
"Zapotec, Cajonos language resources | Joshua Project",https://joshuaproject.net/languages/zad,"Zapotec, Cajonos language resources. Listing of people groups speaking Zapotec, Cajonos. Zapotec, Cajonos dialects and alternate names. Bible and ministry resource availability.","Zapotec, Cajonos",Otomanguean
Music and Meaning in Three Zapotec Songs * - DocsLib,https://docslib.org/doc/731318/music-and-meaning-in-three-zapotec-songs,"Music and Meaning in Three Zapotec Songs* Kathryn Goldberg Bryn Mawr College Senior thesis submitted in partial fulfillment of the requirements for the degree of Bachelor of Arts in Music at Haverford College April 2018 *I would like to thank my music advisor, Professor Richard Freedman, for his dedication to my project throughout its development. I would also like to thank my linguistics ...","Zapotec, Cajonos",Otomanguean
