title,link,text,language,family
Zhuang languages - Wikipedia,https://en.wikipedia.org/wiki/Zhuang_languages,"The Zhuang languages (/ˈdʒwæŋ, ˈdʒwɒŋ/; autonym: Vahcuengh [βa˧ɕuːŋ˧] , Sawndip: 話僮) are more than a dozen Tai languages spoken by the Zhuang people of ...","Zhuang, Qiubei",Kra-Dai
Kra-Dai | Ethnologue Free,https://www.ethnologue.com/subgroup/801/,"Zhuang, Lianshan zln, a language of China; Zhuang, Liujiang zlj, a language of China; Zhuang, Liuqian zlq, a language of China; Zhuang, Qiubei zqe, a language ...","Zhuang, Qiubei",Kra-Dai
Tai-Kadai - Glottolog 5.3,https://glottolog.org/resource/languoid/id/taik1256,Dai Zhuang. ▻Sapa-Southwestern Tai (34). ▻Southwestern Tai (33) ... Qiubei Zhuang · Youjiang Zhuang. ▻Yongnan-Yongbei (2) · Yongbei Zhuang · Yongnan Zhuang.,"Zhuang, Qiubei",Kra-Dai
Omniglot fan club - Facebook,https://www.facebook.com/groups/omniglot/posts/10164316007174666/,"Jun 27, 2026 ... ᩈᩪᩉᩱ᩠ᩉᩱ᩠᩵ᥴᩉᩱ᩠ᩈᩪᩈᩪᥴ / ᥴᥴᥴᥴ ᥴᥴᥴ ᥴᥴᥴ ᥴᥴᥴᥴ ""Be Prosperous"" • This song is performed in two languages: Tai Lue /taj˥ lɯː˨˩/ and Tai Le /tai˦ lə˧˥/ of Kra-Dai ...","Zhuang, Qiubei",Kra-Dai
The Cuengh Language_Baiduwiki,https://baike.baidu.com/en/item/The+Cuengh+Language/1504722,"The Cuengh Language is the language used by the Zhuang ethnic group in China, belonging to the Tai branch of the Kra-Dai language family within the Sino-Tibetan ...","Zhuang, Qiubei",Kra-Dai
لغات التاي الشمالية - المعرفة,https://www.marefa.org/لغات_التاي_الشمالية,"Qiubei 丘北县 = Qiubei Zhuang. (Baise, Guangxi). Lingyun 凌乐/凌云县 = Guibian ... Kra–Dai languages · Kra · Laha · Lachi · Paha · Buyang · En · Qabiao · Gelao.","Zhuang, Qiubei",Kra-Dai
Convergence and divergence of tone paradigms across Tai dialects ...,https://researchportal.helsinki.fi/files/574272046/447-WagnerStangeHundsdoerfer-2025-16.pdf,"Mar 11, 2025 ... Northern Zhuang,. Bouyei, Yay,. Mène, Saek. Proto-. Central-Tai ... Kra-dai and Austronesian: Notes on phonological cor- respondences ...","Zhuang, Qiubei",Kra-Dai
Proceedings of the fifth International Conference on Asian ...,https://geolinguistics.sakura.ne.jp/Monograph/SiG-mono6-ebook.pdf,"only Qiubei Zhuang has the form pe6, leads us to speculate that ... Zhuang and Dai languages might have been borrowed from Vietnamese. It is ...","Zhuang, Qiubei",Kra-Dai
The Development of the FINISH Morphemes in the Yue-Chinese ...,https://rwxy.swjtu.edu.cn/__local/6/36/F6/DC2052B270620718AD4BC4DC75D_48E7CB34_562E97.pdf,hypothesize that Longzhou Zhuang is related to Xishuangbanna Dai both linguistically and ... Kra-Dai and Austronesian: Notes on phonological correspondences and ...,"Zhuang, Qiubei",Kra-Dai
(PDF) TONAL DEVELOPMENT OF TAI LANGUAGES - Academia.edu,https://www.academia.edu/29464397/TONAL_DEVELOPMENT_OF_TAI_LANGUAGES,"This thesis aims to provide a full scheme of tonal development of Tai, from tonogenesis in proto-Tai to different diachronic hierarchies of tonal splits.","Zhuang, Qiubei",Kra-Dai
