title,link,text,language,family
Kra-Dai languages - Wikipedia,https://en.wikipedia.org/wiki/Kra–Dai_languages,"The Kra-Dai languages (/ ˈkrɑːdaɪ / KRAH-dy), also known as Tai-Kadai (/ ˈtaɪkədaɪ / TY-kə-dy) and Daic (/ ˈdaɪ.ɪk / DY-ik), are a language family in mainland Southeast Asia, southern China, and northeastern India. All languages in the family are tonal, including Thai and Lao, the national languages of Thailand and Laos, respectively. [1] Around 93 million people speak Kra ...","Zhuang, Yang",Kra-Dai
Zhuang languages - Wikipedia,https://en.wikipedia.org/wiki/Zhuang_languages,"Books of Zhuang language The Zhuang languages (/ ˈdʒwæŋ, ˈdʒwɒŋ /; [2] autonym: Vahcuengh [βa˧ɕuːŋ˧], [a] Sawndip: 話僮[b]) [c] are more than a dozen Tai languages spoken by the Zhuang people of Southern China in the province of Guangxi and adjacent parts of Yunnan and Guangdong. The Zhuang languages do not form a monophyletic linguistic unit, as northern and southern Zhuang ...","Zhuang, Yang",Kra-Dai
Kra-Dai Studies | Liao Hanbo - mayxreux.wixsite.com,https://mayxreux.wixsite.com/liao-hanbo/kra-dai-studies,Yang Zhuang-Chinese-English-Thai Dictionary An Intergrated Yang Zhuang Orthography (LEE Sampson Chun-Yin & LIAO Hanbo 2018) A Tai wordlist of irregular merging directions of particular sound series (for Liao 2023) Calculation of Kra-Dai speaking population (by 2020),"Zhuang, Yang",Kra-Dai
The Song of the Yue People 越人歌 （ไป่เยฺว่ Ancient Baiyue Language，Zhuang ...,https://m.youtube.com/watch?v=EgaYEodV9HU,Thai is the national language of Thailand and belongs to the Tai language branch of the Dong-Tai language family together with Zhuang.,"Zhuang, Yang",Kra-Dai
DA ZHUANG 大壯 我們不一樣 WO MEN BU YI YANG - YouTube Music,https://music.youtube.com/watch?v=ES7SOJkC6Xo,Huang Candra Playing from DA ZHUANG 大壯 我們不一樣 WO MEN BU YI YANG Mix,"Zhuang, Yang",Kra-Dai
仡偙/Khyá-Day/ข้า-ไท/Kra-Dai: 語言·文化 languages & cultures | Medley of ...,https://www.facebook.com/groups/734772511446491/posts/1089037926019946/,"Medley of Southern Zhuang Opera (Yhà Hàay/Da Hài) tunes: After the first performance, Mr. Huáng Yīgé asked the singers to take non-stop turns in the performance of the next Zhuang Opera song,...","Zhuang, Yang",Kra-Dai
仡偙/Khyá-Day/ข้า-ไท/Kra-Dai: 語言·文化 languages & cultures,https://www.facebook.com/groups/734772511446491/,"This group is a platform for discussing topics related to the languages and cultures of the Kra-Dai languages. Kra-Dai is a major language family distributed throughout southern and southwestern China and Mainland Southeast Asian countries, with the three main branches being Kra, Kam-Tai and Hlai. Among them, Kam-Tai is the most populous branch, with Kam, Sui, Northern Zhuang, Buyi, Yongnan ...","Zhuang, Yang",Kra-Dai
MSEA Languages - KRA-DAI - Google Sites,https://sites.google.com/site/msealangs/kra-dai,"Many Kra languages, as well as Yang Zhuang of southwestern Guangxi, are also notable for having clause-final negation, an unusual grammatical feature that is not found in any other language of the China-Vietnam border region (Edmondson 2008; Jackson 2015).","Zhuang, Yang",Kra-Dai
Home | Liao Hanbo,https://mayxreux.wixsite.com/liao-hanbo,"Advanced: English, and Japanese (Certificate of Level 1). Intermediate: Standard Zhuang, Northern Thai, Tai Lue, Lao, Shan, Bouyei, Cantonese dialects of Nanning, Baise and Zhongshan, and Xi'an Mandarin. In addition to my linguistic studies, I am also a philologist in Kra-Dai languages' oral literature.","Zhuang, Yang",Kra-Dai
Google Scholar,https://scholar.google.hk/,"Google Scholar provides a simple way to broadly search for scholarly literature. Search across a wide variety of disciplines and sources: articles, theses, books, abstracts and court opinions.","Zhuang, Yang",Kra-Dai
