title,link,text,language,family
ǂʼAmkoe language - Wikipedia,https://en.wikipedia.org/wiki/ǂʼAmkoe_language,"ǂʼAmkoe / ˈæmkɔɪ / AM-koy, formerly called by the dialectal name ǂHoan (alternatively spelled ǂHȍã, ǂHûân, ǂHua, ǂHû, or in native orthography ǂHȍȁn, and also known as Eastern ǂHoan, to distinguish from Western ǂHoan), is a severely endangered Kxʼa language [2] of Botswana.",ǂ’Amkhoe,Kx’a
Kxʼa languages - Wikipedia,https://en.wikipedia.org/wiki/Kxʼa_languages,"Historical range of the Kxʼa languages in orange. The Kxʼa (/ ˈkɑː / KAH) languages, also called Ju–ǂHoan (/ ˌdʒuːˈhoʊæn / joo-HOH-an), is a language family established in 2010 linking the ǂʼAmkoe (ǂHoan) language with the ǃKung (Juu) dialect cluster, a relationship that had been suspected for a decade. [1] .",ǂ’Amkhoe,Kx’a
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get...",ǂ’Amkhoe,Kx’a
"ǂ'Amkhoe language. Evangelism tools, church planting ...",https://globalrecordings.net/en/language/huc,"Short audio Bible stories and evangelistic messages that explain salvation and give basic Christian teaching. Each program is a customised and culturally relevant selection of scripts, and may include songs and music.",ǂ’Amkhoe,Kx’a
"ǂ'Amkhoe: N!aqriaxe language. Evangelism tools, church ...",https://globalrecordings.net/en/language/28891,"Short audio Bible stories and evangelistic messages that explain salvation and give basic Christian teaching. Each program is a customised and culturally relevant selection of scripts, and may include songs and music.",ǂ’Amkhoe,Kx’a
ǂ’Amkhoe / Hoa-Sasi,https://lingweb.eva.mpg.de/channumerals/Amkhoe.htm,"Recently, Heine and Honken (2010) and Honken (2010) have claimed that ‡Höa and the northern Khoisan languages form a group, which they call Kx’a. Therefore, we claim that ǂ’Amkhoe is a branch of Kx’a.",ǂ’Amkhoe,Kx’a
"Stream |Kx'am music | Listen to songs, albums, playlists for ...",https://soundcloud.com/kxam-npo,"Play |Kx'am and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",ǂ’Amkhoe,Kx’a
Language acquisition in Setswana speaking infants aged 8 to 18 ...,https://open.uct.ac.za/server/api/core/bitstreams/781a46ad-f51d-4e21-adda-35790d61012b/content,"Oct 29, 2021 ... ... Kx'a. ǂ'Amkhoe. Nǃaqriaxe. ǂHoan. Sasi. ǃKung. Juǀ'hoansi. Ekoka ǃKung. Tuu ... What songs or prayers do they know? The latter half of the ...",ǂ’Amkhoe,Kx’a
ǂʼAmkoe (ǂHoan) language and alphabet - Omniglot,https://www.omniglot.com/writing/amkoe.htm,"Jun 1, 2025 ... ǂʼAmkoe is a Kxʼa language is spoken in parts of southeastern Botswana. In 2015 there were maybe 50 speakers of ǂʼAmkoe.",ǂ’Amkhoe,Kx’a
,"/clev?event=StartpageResultClick&sc=2sbbv9IndYo47jh0ptEez0PHoFhDV1mYcMzZDCYAV0XLdtyOusOL9MgZcCpdbHwIM5ebkrXgBDHy6c4NQC6fdn1QnEL8s8tn&payload={""bdsSessionId"":""0eed9bc9ad2b4b11a297e7b55452844c"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""1eOWVoYY7Ubo796Pc"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1vSs48OzrGvFLSakO"",""surface"":""serp-web"",""transport"":""href-request""}",,ǂ’Amkhoe,Kx’a
